N, M, Iteration, Cells/sec, Time_sec
8192,8192,3,1.05022e+14,6.39e-07
8192,8192,4,9.193e+13,7.3e-07
8192,8192,5,1.23817e+14,5.42e-07
8192,8192,6,1.24506e+14,5.39e-07
8192,8192,7,1.15705e+14,5.8e-07
8192,8192,8,1.271e+14,5.28e-07
8192,8192,9,1.30056e+14,5.16e-07
8192,8192,10,9.34664e+13,7.18e-07
8192,8192,11,1.20699e+14,5.56e-07
8192,8192,12,8.64805e+13,7.76e-07
8192,8192,13,1.09298e+14,6.14e-07
8192,8192,14,1.32626e+14,5.06e-07
16384,16384,0,7.25697e+13,3.699e-06
16384,16384,1,5.30505e+14,5.06e-07
16384,16384,2,5.65127e+14,4.75e-07
16384,16384,3,5.26344e+14,5.1e-07
16384,16384,4,5.09365e+14,5.27e-07
16384,16384,5,5.53475e+14,4.85e-07
16384,16384,6,6.37614e+14,4.21e-07
16384,16384,7,6.36103e+14,4.22e-07
16384,16384,8,5.99186e+14,4.48e-07
16384,16384,9,4.20745e+14,6.38e-07
16384,16384,10,6.21378e+14,4.32e-07
16384,16384,11,6.05949e+14,4.43e-07
16384,16384,12,4.28811e+14,6.26e-07
16384,16384,13,6.34599e+14,4.23e-07
16384,16384,14,5.27378e+14,5.09e-07
