N, M, Iteration, Cells/sec, Time_sec
32,32,0,7.30906e+08,1.401e-06
32,32,1,1.55152e+09,6.6e-07
32,32,2,3.28205e+09,3.12e-07
32,32,3,2.09407e+09,4.89e-07
32,32,4,2.45564e+09,4.17e-07
32,32,5,2.1289e+09,4.81e-07
32,32,6,2.00391e+09,5.11e-07
32,32,7,2.47343e+09,4.14e-07
32,32,8,2.70185e+09,3.79e-07
32,32,9,2.41509e+09,4.24e-07
32,32,10,3.00293e+09,3.41e-07
32,32,11,2.88451e+09,3.55e-07
32,32,12,2.55362e+09,4.01e-07
32,32,13,2.40941e+09,4.25e-07
32,32,14,2.23581e+09,4.58e-07
64,64,0,1.27601e+10,3.21e-07
64,64,1,9.10222e+09,4.5e-07
64,64,2,7.22399e+09,5.67e-07
64,64,3,7.08651e+09,5.78e-07
64,64,4,1.01638e+10,4.03e-07
64,64,5,6.43014e+09,6.37e-07
64,64,6,9.20449e+09,4.45e-07
64,64,7,1.06114e+10,3.86e-07
64,64,8,1.08074e+10,3.79e-07
64,64,9,7.98441e+09,5.13e-07
64,64,10,6.66016e+09,6.15e-07
64,64,11,9.26697e+09,4.42e-07
64,64,12,8.8658e+09,4.62e-07
64,64,13,8.82759e+09,4.64e-07
64,64,14,8.92375e+09,4.59e-07
128,128,0,4.92012e+10,3.33e-07
128,128,1,4.05545e+10,4.04e-07
128,128,2,2.98434e+10,5.49e-07
128,128,3,3.25726e+10,5.03e-07
128,128,4,3.57729e+10,4.58e-07
128,128,5,3.60088e+10,4.55e-07
128,128,6,2.80548e+10,5.84e-07
128,128,7,3.40624e+10,4.81e-07
128,128,8,3.67354e+10,4.46e-07
128,128,9,4.93494e+10,3.32e-07
128,128,10,3.63282e+10,4.51e-07
128,128,11,3.6818e+10,4.45e-07
128,128,12,3.37814e+10,4.85e-07
128,128,13,3.7492e+10,4.37e-07
128,128,14,5.97956e+10,2.74e-07
256,256,0,1.74298e+11,3.76e-07
256,256,1,1.34571e+11,4.87e-07
256,256,2,9.75238e+10,6.72e-07
256,256,3,1.17871e+11,5.56e-07
256,256,4,1.21814e+11,5.38e-07
256,256,5,1.29518e+11,5.06e-07
256,256,6,1.38847e+11,4.72e-07
256,256,7,1.25069e+11,5.24e-07
256,256,8,1.44671e+11,4.53e-07
256,256,9,2.17007e+11,3.02e-07
256,256,10,1.34571e+11,4.87e-07
256,256,11,1.43405e+11,4.57e-07
256,256,12,1.2775e+11,5.13e-07
256,256,13,1.19156e+11,5.5e-07
256,256,14,1.94469e+11,3.37e-07
512,512,0,5.61336e+11,4.67e-07
512,512,1,5.36082e+11,4.89e-07
512,512,2,4.69792e+11,5.58e-07
512,512,3,5.17049e+11,5.07e-07
512,512,4,5.01231e+11,5.23e-07
512,512,5,4.71482e+11,5.56e-07
512,512,6,4.97427e+11,5.27e-07
512,512,7,5.02192e+11,5.22e-07
512,512,8,5.18071e+11,5.06e-07
512,512,9,5.31732e+11,4.93e-07
512,512,10,9.19804e+11,2.85e-07
512,512,11,5.61336e+11,4.67e-07
512,512,12,5.67411e+11,4.62e-07
512,512,13,5.94431e+11,4.41e-07
512,512,14,9.16587e+11,2.86e-07
1024,1024,0,6.53318e+11,1.605e-06
1024,1024,1,2.31474e+12,4.53e-07
1024,1024,2,3.39345e+12,3.09e-07
1024,1024,3,3.77186e+12,2.78e-07
1024,1024,4,3.69217e+12,2.84e-07
1024,1024,5,3.813e+12,2.75e-07
1024,1024,6,4.36907e+12,2.4e-07
1024,1024,7,2.10981e+12,4.97e-07
1024,1024,8,2.37234e+12,4.42e-07
1024,1024,9,2.44994e+12,4.28e-07
1024,1024,10,2.01262e+12,5.21e-07
1024,1024,11,2.21686e+12,4.73e-07
1024,1024,12,1.69125e+12,6.2e-07
1024,1024,13,2.16648e+12,4.84e-07
1024,1024,14,2.64125e+12,3.97e-07
2048,2048,0,2.05805e+12,2.038e-06
2048,2048,1,7.42355e+12,5.65e-07
2048,2048,2,1.20181e+13,3.49e-07
2048,2048,3,8.05049e+12,5.21e-07
2048,2048,4,8.70188e+12,4.82e-07
2048,2048,5,9.4254e+12,4.45e-07
2048,2048,6,7.30715e+12,5.74e-07
2048,2048,7,8.84874e+12,4.74e-07
2048,2048,8,8.40542e+12,4.99e-07
2048,2048,9,8.06597e+12,5.2e-07
2048,2048,10,8.05049e+12,5.21e-07
2048,2048,11,7.09696e+12,5.91e-07
2048,2048,12,7.18203e+12,5.84e-07
2048,2048,13,9.38323e+12,4.47e-07
2048,2048,14,1.2446e+13,3.37e-07
4096,4096,0,7.36489e+12,2.278e-06
4096,4096,1,2.40361e+13,6.98e-07
4096,4096,2,3.04487e+13,5.51e-07
4096,4096,3,3.08973e+13,5.43e-07
4096,4096,4,4.48589e+13,3.74e-07
4096,4096,5,4.03298e+13,4.16e-07
4096,4096,6,2.65462e+13,6.32e-07
4096,4096,7,4.25818e+13,3.94e-07
4096,4096,8,4.9784e+13,3.37e-07
4096,4096,9,6.82001e+13,2.46e-07
4096,4096,10,5.94937e+13,2.82e-07
4096,4096,11,7.07899e+13,2.37e-07
4096,4096,12,6.9042e+13,2.43e-07
4096,4096,13,6.84784e+13,2.45e-07
4096,4096,14,6.42805e+13,2.61e-07
8192,8192,0,2.21335e+13,3.032e-06
8192,8192,1,1.4432e+14,4.65e-07
8192,8192,2,1.26144e+14,5.32e-07
