N, M, Iteration, Cells/sec, Time_sec
8192,8192,7,1.12788e+14,5.95e-07
8192,8192,8,1.05683e+14,6.35e-07
8192,8192,9,1.0824e+14,6.2e-07
8192,8192,10,1.18358e+14,5.67e-07
8192,8192,11,8.13441e+13,8.25e-07
8192,8192,12,1.08766e+14,6.17e-07
8192,8192,13,1.13744e+14,5.9e-07
8192,8192,14,1.23589e+14,5.43e-07
16384,16384,0,7.04555e+13,3.81e-06
16384,16384,1,4.11711e+14,6.52e-07
16384,16384,2,3.98864e+14,6.73e-07
16384,16384,3,4.70115e+14,5.71e-07
16384,16384,4,5.81029e+14,4.62e-07
16384,16384,5,5.95201e+14,4.51e-07
16384,16384,6,5.39027e+14,4.98e-07
16384,16384,7,5.81029e+14,4.62e-07
16384,16384,8,4.20087e+14,6.39e-07
16384,16384,9,4.39338e+14,6.11e-07
16384,16384,10,6.00527e+14,4.47e-07
16384,16384,11,5.47827e+14,4.9e-07
16384,16384,12,5.01749e+14,5.35e-07
16384,16384,13,4.3862e+14,6.12e-07
16384,16384,14,4.88953e+14,5.49e-07
