N, M, Iteration, Cells/sec, Time_sec
8192,8192,7,1.24276e+14,5.4e-07
8192,8192,8,1.72961e+14,3.88e-07
8192,8192,9,1.4158e+14,4.74e-07
8192,8192,10,1.08415e+14,6.19e-07
8192,8192,11,1.21135e+14,5.54e-07
8192,8192,12,1.61319e+14,4.16e-07
8192,8192,13,1.29056e+14,5.2e-07
8192,8192,14,1.52174e+14,4.41e-07
16384,16384,0,8.07568e+13,3.324e-06
16384,16384,1,3.87353e+14,6.93e-07
16384,16384,2,4.45906e+14,6.02e-07
16384,16384,3,5.95201e+14,4.51e-07
16384,16384,4,5.95201e+14,4.51e-07
16384,16384,5,6.31613e+14,4.25e-07
16384,16384,6,6.81308e+14,3.94e-07
16384,16384,7,6.25724e+14,4.29e-07
16384,16384,8,4.68474e+14,5.73e-07
16384,16384,9,5.6394e+14,4.76e-07
16384,16384,10,5.04578e+14,5.32e-07
16384,16384,11,8.18401e+14,3.28e-07
16384,16384,12,7.47731e+14,3.59e-07
16384,16384,13,6.86536e+14,3.91e-07
16384,16384,14,6.01873e+14,4.46e-07
