N, M, Iteration, Cells/sec, Time_sec
8192,8192,7,7.15446e+13,9.38e-07
8192,8192,8,9.18042e+13,7.31e-07
8192,8192,9,1.02613e+14,6.54e-07
8192,8192,10,1.01989e+14,6.58e-07
8192,8192,11,1.30056e+14,5.16e-07
8192,8192,12,1.25437e+14,5.35e-07
8192,8192,13,1.06017e+14,6.33e-07
8192,8192,14,1.08415e+14,6.19e-07
16384,16384,0,7.29642e+13,3.679e-06
16384,16384,1,2.48782e+14,1.079e-06
16384,16384,2,4.22068e+14,6.36e-07
16384,16384,3,6.77867e+14,3.96e-07
16384,16384,4,5.40112e+14,4.97e-07
16384,16384,5,4.98951e+14,5.38e-07
16384,16384,6,4.54975e+14,5.9e-07
16384,16384,7,5.53475e+14,4.85e-07
16384,16384,8,4.92542e+14,5.45e-07
16384,16384,9,5.04578e+14,5.32e-07
16384,16384,10,4.80207e+14,5.59e-07
16384,16384,11,5.91268e+14,4.54e-07
16384,16384,12,4.77643e+14,5.62e-07
16384,16384,13,4.60438e+14,5.83e-07
16384,16384,14,5.07439e+14,5.29e-07
