N, M, Iteration, Cells/sec, Time_sec
8192,8192,7,2.11034e+14,3.18e-07
8192,8192,8,2.20753e+14,3.04e-07
8192,8192,9,2.58111e+14,2.6e-07
8192,8192,10,2.69514e+14,2.49e-07
8192,8192,11,2.62144e+14,2.56e-07
8192,8192,12,2.69514e+14,2.49e-07
8192,8192,13,2.58111e+14,2.6e-07
8192,8192,14,2.59108e+14,2.59e-07
16384,16384,0,7.56582e+13,3.548e-06
16384,16384,1,2.54924e+14,1.053e-06
16384,16384,2,4.81931e+14,5.57e-07
16384,16384,3,4.35066e+14,6.17e-07
16384,16384,4,4.79349e+14,5.6e-07
16384,16384,5,2.22768e+14,1.205e-06
16384,16384,6,3.94758e+14,6.8e-07
16384,16384,7,3.19186e+14,8.41e-07
16384,16384,8,6.66093e+14,4.03e-07
16384,16384,9,1.00162e+15,2.68e-07
16384,16384,10,9.69081e+14,2.77e-07
16384,16384,11,1.05269e+15,2.55e-07
16384,16384,12,1.03643e+15,2.59e-07
16384,16384,13,1.02456e+15,2.62e-07
16384,16384,14,1.0168e+15,2.64e-07
