N, M, Iteration, Cells/sec, Time_sec
8192,8192,12,5.25828e+07,1.27625
8192,8192,13,5.06519e+07,1.3249
8192,8192,14,5.26217e+07,1.27531
16384,16384,0,8.66701e+06,30.9721
16384,16384,1,5.19277e+07,5.16941
16384,16384,2,5.26577e+07,5.09774
16384,16384,3,5.05575e+07,5.30951
16384,16384,4,5.05334e+07,5.31204
16384,16384,5,4.81033e+07,5.58039
16384,16384,6,5.08574e+07,5.2782
16384,16384,7,5.24433e+07,5.11859
16384,16384,8,5.14009e+07,5.22239
16384,16384,9,5.1663e+07,5.19589
16384,16384,10,5.05401e+07,5.31134
16384,16384,11,4.89818e+07,5.48031
16384,16384,12,4.98714e+07,5.38255
16384,16384,13,5.18895e+07,5.17322
16384,16384,14,4.77273e+07,5.62436
