N, M, Iteration, Cells/sec, Time_sec
32,32,0,1.55765e+06,0.0006574
32,32,1,2.14092e+06,0.0004783
32,32,2,3.35408e+06,0.0003053
32,32,3,772830,0.001325
32,32,4,2.31151e+06,0.000443
32,32,5,2.5787e+06,0.0003971
32,32,6,2.89921e+06,0.0003532
32,32,7,3.1566e+06,0.0003244
32,32,8,3.15952e+06,0.0003241
32,32,9,3.20903e+06,0.0003191
64,64,0,5.16324e+06,0.0007933
64,64,1,7.32475e+06,0.0005592
64,64,2,1.02196e+07,0.0004008
64,64,3,3.28943e+06,0.0012452
64,64,4,1.07507e+07,0.000381
64,64,5,1.13149e+07,0.000362
64,64,6,1.11699e+07,0.0003667
64,64,7,1.07648e+07,0.0003805
64,64,8,9.6581e+06,0.0004241
64,64,9,1.24272e+07,0.0003296
128,128,0,2.27335e+07,0.0007207
128,128,1,3.32468e+07,0.0004928
128,128,2,4.54606e+07,0.0003604
128,128,3,1.22948e+07,0.0013326
128,128,4,4.27781e+07,0.000383
128,128,5,4.27892e+07,0.0003829
128,128,6,4.4765e+07,0.000366
128,128,7,4.28228e+07,0.0003826
128,128,8,4.63479e+07,0.0003535
128,128,9,4.47528e+07,0.0003661
256,256,0,6.90143e+07,0.0009496
256,256,1,5.59276e+07,0.0011718
256,256,2,1.04174e+08,0.0006291
256,256,3,4.83589e+07,0.0013552
256,256,4,1.05686e+08,0.0006201
256,256,5,1.07489e+08,0.0006097
256,256,6,1.18875e+08,0.0005513
256,256,7,1.20759e+08,0.0005427
256,256,8,1.14915e+08,0.0005703
256,256,9,1.15279e+08,0.0005685
512,512,0,1.41884e+08,0.0018476
512,512,1,1.64158e+08,0.0015969
512,512,2,1.35805e+08,0.0019303
512,512,3,1.30524e+08,0.0020084
512,512,4,1.11555e+08,0.0023499
512,512,5,1.14935e+08,0.0022808
512,512,6,1.08025e+08,0.0024267
512,512,7,1.85366e+08,0.0014142
512,512,8,1.83343e+08,0.0014298
512,512,9,1.77857e+08,0.0014739
1024,1024,0,1.71157e+08,0.0061264
1024,1024,1,1.88464e+08,0.0055638
1024,1024,2,2.00228e+08,0.0052369
1024,1024,3,2.15872e+08,0.0048574
1024,1024,4,1.94906e+08,0.0053799
1024,1024,5,1.7275e+08,0.0060699
1024,1024,6,1.88532e+08,0.0055618
1024,1024,7,1.77343e+08,0.0059127
1024,1024,8,1.90775e+08,0.0054964
1024,1024,9,1.85006e+08,0.0056678
